attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
40,21,1359474,467813,8683,84287,100287,33853,5565,17110
57,16,803659,73062,10025,9188,13677,40394,1522,267
74,37,297506,14564,4620,2631,2060,1716,283,285
67,44,692463,133661,35805,65084,44852,6807,13599,1316
40,53,189821,67488,16596,28118,8986,1185,1467,1085
40,50,39511,10245,4689,4642,3015,1493,1461,781
34,43,375599,104496,12270,6511,12829,4340,8676,2444
41,47,294104,29672,11747,20910,9251,6130,1783,2154
57,48,97114,26658,17848,12403,5785,5480,5348,3129
61,51,31477,14508,14545,10049,4052,4457,1458,2330
64,56,409450,75202,9689,20010,9047,4896,4121,1667
64,57,1236477,22857,29902,4481,3670,5408,2135,528
61,60,657848,6441,3613,4006,798,809,131,221
67,54,35659,7316,4721,1364,910,3359,422,1078
69,56,92317,37182,7210,8615,1840,3198,1203,1912
78,50,107952,26112,10904,5961,5026,13242,2433,2012
84,56,67099,8424,10699,43054,3074,10265,1542,978
80,56,27937,11407,6897,3353,5936,2983,3703,1492
81,54,20819,38944,6689,7124,3661,3582,1620,2622
70,66,8074,7656,4245,39315,4933,4534,2034,965
80,53,5182,12722,5813,2464,8010,9667,712,1702
87,61,7517,10961,9800,9631,3585,4792,1715,1515
90,53,574326,24173,2002,14505,5618,5164,1622,1777
81,63,8256,5453,10409,13907,3899,4651,2121,1542
80,56,17492,50960,4087,11470,5964,7007,1270,1455
70,48,82791,10543,799,2452,1567,844,1466,482
70,51,69312,10592,12876,4783,1963,3602,2142,1225
64,51,182167,27565,37477,17174,2596,4777,949,2050
63,56,986085,46840,8949,25173,14751,5642,1126,489
61,50,68532,19472,10358,15597,14515,3414,1008,2197
78,41,33675,19778,8526,10405,7912,6357,2912,2203
74,47,52011,21563,5167,5180,6864,1658,1925,1461
77,44,4408,38808,3379,17846,5841,6902,1334,1853
75,50,12774,6933,3981,3483,1455,4702,3865,1909
80,56,16598,10006,5075,10020,5601,2499,2145,1116
80,56,26399,25836,8387,7043,2043,4203,2330,2537
83,53,20842,16609,4835,7468,1102,4562,2320,1854
97,43,17680,21778,2058,6780,2776,4222,2324,1262
91,47,25370,32832,25366,13109,6940,4620,2639,1320
93,50,16829,3818,12052,8643,7559,9198,2034,895
90,57,16716,7064,7589,7834,4916,7962,2244,1237
90,60,22258,24381,5740,8525,2175,6422,2168,4278
97,60,117578,7986,836,12679,6457,3694,1971,662
77,54,854840,31744,14864,4286,4057,1204,1072,439
63,51,205085,39901,3531,18983,6886,4968,2798,1053
60,60,57504,10828,19894,15528,5223,4733,1700,3567
53,56,74724,23327,11104,8735,11701,3120,2969,642
61,54,994053,86471,16409,34183,26667,9645,5129,4032
63,57,550788,42576,35259,6593,13081,8951,2222,2248
67,53,21146,3901,2115,12203,7973,3231,1719,1609
67,50,26696,27399,6290,3096,3049,2861,1350,882
69,47,8767,20508,3686,3876,5143,2522,2920,2387
66,44,60618,37152,7020,18271,11085,4314,2056,1372
67,48,7149,11965,2004,28728,2257,8542,1663,2438
81,53,21690,6607,4644,5765,5766,7623,1878,1462
88,54,5950,13378,2230,8413,8757,4888,2255,1359
94,57,23069,4177,5221,9343,8911,3243,3620,1394
84,47,20208,19722,3508,3488,9370,1583,4912,714
74,50,10330,9457,7106,13640,7371,2852,1716,1451
67,60,21688,15905,13973,16992,1782,4896,3445,949
57,53,1918193,175709,38787,54027,57498,12803,5874,1653
61,54,65417,55562,10270,10920,5497,7319,2626,3671
61,53,73164,14511,4080,13454,3947,3267,2161,2263
61,51,38251,16644,10227,20017,4549,4719,1445,1233
69,64,2246,4085,8389,18639,4984,4159,1188,1299
77,69,14393,7283,4536,5862,3467,3987,1250,863
75,67,15387,20528,11623,3861,6575,2344,2449,941
70,66,35855,26957,11732,29302,6436,5229,2375,2098
61,54,98390,26215,7775,4954,6305,1395,1285,1571
61,53,7268,22601,9182,12439,5304,10863,2035,1443
64,53,3135,18221,1753,11189,1281,3226,1769,2712
67,51,15388,18090,17212,3101,2051,4363,1532,3374
80,51,8154,16207,2592,10553,9277,4036,2869,1167
66,50,8749,47350,13819,7634,9702,3268,2154,3265
64,54,6706,9519,5140,14959,3739,3021,2051,1117
77,50,9082,2927,1709,8140,12162,6061,660,1503
75,48,55352,57838,18276,4964,9875,9659,3793,3199
75,60,44374,14185,14645,23569,5160,2317,1625,899
67,57,14147,11979,13970,4554,6527,1402,2295,1525
51,67,12647,13619,17030,35136,8234,4601,1857,1444
53,75,27642,9651,8834,10555,8039,4418,971,2208
61,66,9099,22003,10084,13937,12156,6364,2797,1733
70,56,7061,14913,3244,2296,3781,3152,4157,1531
83,44,5210,15402,4530,4162,3142,6031,2565,907
78,48,11661,20473,10549,25679,2637,3977,1888,1331
83,38,22630,31173,2441,5673,13233,9651,1886,2053
80,44,3403,22359,10561,11318,6005,4366,2826,1149
