attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
60,41,16603,40372,11984,3975,4612,5089,2924,1219,F
63,35,251349,69187,7233,8530,16933,6464,2978,1730,F
61,41,193321,27235,27373,7364,1810,3094,1673,2556,F
60,40,303260,199783,25027,5657,41486,20710,3591,2355,F
50,44,636067,92111,42982,14765,3871,3201,3493,2269,F
41,56,544950,59593,15755,53454,21323,2747,2865,4310,F
48,61,32675,6535,12790,19991,5333,5153,2786,2281,F
44,74,132411,73373,12085,30561,12227,6715,1912,1540,F
53,66,101659,56240,9142,7311,4477,4892,5644,1328,F
63,66,20073,22035,5285,23955,5876,4686,1251,2113,F
53,54,121289,53104,24985,5125,5495,2752,3730,1131,F
60,57,14264,19822,7785,8901,3397,5249,2546,2165,F
67,66,155599,34833,8582,23421,3710,13509,1633,1955,F
56,53,1042952,217131,31272,6169,4764,4250,3446,1618,F
44,40,1760637,361481,21441,12359,15713,3061,6067,1557,F
43,47,39581,12687,20079,12541,6728,4925,1634,1827,F
40,47,151584,32847,13804,15991,2543,9099,4033,1204,F
44,57,1667769,52380,38102,5740,4502,2910,1509,1090,F
63,63,39498,24010,12833,14843,3678,4172,2608,990,F
56,60,306596,64248,6082,32664,6599,6398,4911,2797,F
74,61,216287,14505,21709,7794,11490,11546,3459,2522,F
66,64,219984,61780,17046,21920,7498,5004,3457,3454,F
69,64,18712,6557,4930,10079,10065,2983,1988,1518,F
75,69,4147,15355,4638,18374,4014,4533,2278,1110,F
66,74,35687,34168,46676,8977,5657,7902,1052,1725,F
70,75,85963,49830,23955,20480,12542,9392,2963,1570,F
63,64,59845,35394,7856,1312,2862,1703,802,247,F
67,61,2023032,377505,312101,208651,211410,184222,31004,20816,F
61,54,1110960,55867,14475,15656,6127,3097,852,710,F
57,77,22907,24921,23199,46829,4142,7243,5007,604,F
53,81,9190,20971,13649,20036,2382,5222,2261,1709,F
64,96,55385,9476,4513,28227,2503,1677,1242,1152,F
64,100,27514,7604,11163,20216,5064,3367,2360,1226,F
69,97,4517,5210,4087,22471,2631,3966,2205,665,F
63,97,7947,9991,7867,11946,4603,2919,3969,1832,F
64,96,13793,12186,1047,29397,3138,2478,3199,2185,F
60,84,26463,56618,13179,38392,2632,3186,1598,1314,F
63,88,13865,8761,4299,29609,4806,7486,1940,1728,F
61,81,19497,19541,9614,4218,5100,3930,2286,1447,F
74,80,100293,40295,11736,19381,5076,10733,2630,1338,F
75,61,233521,38519,9831,12904,3933,5095,2784,1421,F
75,67,34802,10498,12575,10235,2058,5128,1736,1639,F
74,75,34261,8253,1562,16122,3162,3327,1992,1246,F
75,78,46975,11514,3007,10348,5057,2543,729,1173,F
60,83,164557,29847,36568,36859,10833,3522,2883,2492,F
60,88,90828,4537,5216,27507,6594,3690,3012,564,F
61,87,57855,16642,5085,20372,11466,3871,1399,670,F
63,88,3168,14942,25630,19586,2668,2870,1536,2208,F
75,75,6474,6195,3446,5501,5225,8288,1940,817,F
69,70,57847,61870,16193,38688,6151,5858,2256,1443,F
80,67,4873,14013,9009,6811,8712,6161,2132,1735,F
74,37,297506,14564,4620,2631,2060,1716,283,285,B
67,44,692463,133661,35805,65084,44852,6807,13599,1316,B
40,53,189821,67488,16596,28118,8986,1185,1467,1085,B
40,50,39511,10245,4689,4642,3015,1493,1461,781,B
34,43,375599,104496,12270,6511,12829,4340,8676,2444,B
41,47,294104,29672,11747,20910,9251,6130,1783,2154,B
57,48,97114,26658,17848,12403,5785,5480,5348,3129,B
61,51,31477,14508,14545,10049,4052,4457,1458,2330,B
64,56,409450,75202,9689,20010,9047,4896,4121,1667,B
64,57,1236477,22857,29902,4481,3670,5408,2135,528,B
61,60,657848,6441,3613,4006,798,809,131,221,B
67,54,35659,7316,4721,1364,910,3359,422,1078,B
69,56,92317,37182,7210,8615,1840,3198,1203,1912,B
78,50,107952,26112,10904,5961,5026,13242,2433,2012,B
84,56,67099,8424,10699,43054,3074,10265,1542,978,B
80,56,27937,11407,6897,3353,5936,2983,3703,1492,B
81,54,20819,38944,6689,7124,3661,3582,1620,2622,B
70,66,8074,7656,4245,39315,4933,4534,2034,965,B
80,53,5182,12722,5813,2464,8010,9667,712,1702,B
87,61,7517,10961,9800,9631,3585,4792,1715,1515,B
90,53,574326,24173,2002,14505,5618,5164,1622,1777,B
81,63,8256,5453,10409,13907,3899,4651,2121,1542,B
80,56,17492,50960,4087,11470,5964,7007,1270,1455,B
70,48,82791,10543,799,2452,1567,844,1466,482,B
70,51,69312,10592,12876,4783,1963,3602,2142,1225,B
64,51,182167,27565,37477,17174,2596,4777,949,2050,B
63,56,986085,46840,8949,25173,14751,5642,1126,489,B
61,50,68532,19472,10358,15597,14515,3414,1008,2197,B
78,41,33675,19778,8526,10405,7912,6357,2912,2203,B
74,47,52011,21563,5167,5180,6864,1658,1925,1461,B
77,44,4408,38808,3379,17846,5841,6902,1334,1853,B
75,50,12774,6933,3981,3483,1455,4702,3865,1909,B
80,56,16598,10006,5075,10020,5601,2499,2145,1116,B
80,56,26399,25836,8387,7043,2043,4203,2330,2537,B
83,53,20842,16609,4835,7468,1102,4562,2320,1854,B
97,43,17680,21778,2058,6780,2776,4222,2324,1262,B
91,47,25370,32832,25366,13109,6940,4620,2639,1320,B
93,50,16829,3818,12052,8643,7559,9198,2034,895,B
90,57,16716,7064,7589,7834,4916,7962,2244,1237,B
90,60,22258,24381,5740,8525,2175,6422,2168,4278,B
97,60,117578,7986,836,12679,6457,3694,1971,662,B
77,54,854840,31744,14864,4286,4057,1204,1072,439,B
63,51,205085,39901,3531,18983,6886,4968,2798,1053,B
60,60,57504,10828,19894,15528,5223,4733,1700,3567,B
53,56,74724,23327,11104,8735,11701,3120,2969,642,B
61,54,994053,86471,16409,34183,26667,9645,5129,4032,B
63,57,550788,42576,35259,6593,13081,8951,2222,2248,B
67,53,21146,3901,2115,12203,7973,3231,1719,1609,B
67,50,26696,27399,6290,3096,3049,2861,1350,882,B
69,47,8767,20508,3686,3876,5143,2522,2920,2387,B
66,44,60618,37152,7020,18271,11085,4314,2056,1372,B
67,48,7149,11965,2004,28728,2257,8542,1663,2438,B
81,53,21690,6607,4644,5765,5766,7623,1878,1462,B
88,54,5950,13378,2230,8413,8757,4888,2255,1359,B
94,57,23069,4177,5221,9343,8911,3243,3620,1394,B
84,47,20208,19722,3508,3488,9370,1583,4912,714,B
74,50,10330,9457,7106,13640,7371,2852,1716,1451,B
67,60,21688,15905,13973,16992,1782,4896,3445,949,B
57,53,1918193,175709,38787,54027,57498,12803,5874,1653,B
61,54,65417,55562,10270,10920,5497,7319,2626,3671,B
61,53,73164,14511,4080,13454,3947,3267,2161,2263,B
61,51,38251,16644,10227,20017,4549,4719,1445,1233,B
69,64,2246,4085,8389,18639,4984,4159,1188,1299,B
77,69,14393,7283,4536,5862,3467,3987,1250,863,B
