attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
69,70,248582,57435,11396,4165,5714,9547,5407,2798
66,69,142764,83855,4800,25841,5710,5589,4632,2769
66,70,95651,49932,8776,21787,11933,2866,7665,803
69,51,13770,19421,1372,7637,1251,7844,2072,969
74,69,15167,6036,835,11595,3100,3121,3731,1635
84,77,68351,28631,6952,18297,10891,7753,3751,1661
96,87,127396,36497,4650,32590,7282,26712,2785,882
88,91,51862,15537,3789,39289,8907,4209,3047,1745
90,93,18268,12174,11383,11685,16802,6453,4759,1693
91,97,22168,10039,9086,10125,4016,2948,2583,1579
87,100,9653,6686,6612,14854,6464,6323,3339,1313
84,88,166340,79092,15376,14530,1233,6843,2995,1226
77,87,263298,32226,16726,5301,3416,5118,4492,1357
74,91,4456,11981,7947,25183,6058,3556,3411,868
78,94,8043,4028,8944,21568,2498,15054,3491,1683
83,100,120192,8937,13268,24421,3980,4693,1063,1724
88,100,28443,12852,21716,8937,7408,6207,1747,1949
88,100,864599,300451,199245,28575,58447,83587,30840,11826
88,100,1503709,272507,141500,114273,75983,47628,32065,14088
100,100,65941,21132,46992,23388,17739,22874,4423,1568
96,91,19932,14636,2408,5364,20855,7113,2534,1544
94,81,20205,30994,10817,20310,2309,5981,4702,2706
91,81,10978,8700,4799,15411,3643,3256,927,1263
69,80,70191,51899,2617,5641,6791,3481,2048,817
69,77,242803,39454,14070,20880,12419,7443,1277,1524
69,56,5782,45907,6561,5693,5739,6525,2561,400
84,69,6670,21245,20408,5617,2009,9135,4562,862
91,60,184334,54593,4494,20943,6768,6210,6129,1302
84,64,47983,21253,10566,22528,4458,5254,3109,1855
70,78,18530,14595,10697,21290,3542,3474,2708,1730
70,97,14172,10740,9098,24749,1695,8661,3487,1138
91,88,18209,34588,1523,14760,11070,7896,1863,1616
69,44,38566,60361,14688,10555,8221,3892,3486,4048
51,57,31991,13799,19738,18147,3092,4857,2512,1212
44,80,15867,8927,40597,12394,4332,6052,4113,929
44,100,8732,10930,10192,30944,3430,3461,3898,547
47,100,6146,11244,26767,10321,4790,2767,1963,844
54,100,4897,5684,4402,15111,8516,5549,1063,1339
57,100,18070,18107,10539,6185,5689,4491,1766,1322
67,88,54224,16235,5532,8889,4655,6448,1162,1365
78,57,7096,30646,1176,3376,5325,5624,3201,450
70,54,15865,19906,22509,3727,6151,5521,4161,985
63,53,142908,48930,11895,25338,9243,4568,3576,2218
63,60,16383,12336,14811,10391,5706,7734,1563,2330
50,94,47695,7403,11737,43061,4271,2256,1902,1197
63,90,33959,8596,11040,1737,1954,9627,3359,1294
66,88,82709,51906,33084,3798,4248,6469,3001,1594
61,77,58436,54418,4281,25216,8158,11416,2311,769
69,77,32231,4329,10866,49131,5452,5274,3219,1049
56,80,43116,21714,10024,22100,5425,5840,5779,1156
41,90,52044,24298,10895,13791,11000,3099,2545,918
41,80,40834,34030,46706,25404,9204,8832,1815,1009
40,78,30649,27986,18271,15389,11941,5832,2435,1130
47,88,47106,8651,17454,17666,4046,2468,4248,1044
48,88,37696,22509,15235,10088,9790,3949,1432,875
53,90,10524,11919,13555,25936,5672,6788,2080,1346
50,97,16965,10366,32655,11078,11660,3571,2231,1374
50,93,5003,37794,7602,12532,11041,4997,1777,925
56,88,66066,10907,14808,9309,4056,9461,4200,1244
54,75,23587,87125,34531,14494,20465,7357,2468,1166
57,66,22083,14642,19590,14798,7064,4458,1740,1131
61,74,15047,12853,9253,6758,6896,3209,1673,946
53,77,31390,9647,12922,24953,11622,5864,3921,1520
54,84,29337,33228,13144,23029,6818,4247,6136,721
60,80,37333,33019,5152,35352,4507,10502,1581,895
57,70,4739,28642,8303,3675,2558,3753,4574,1216
56,63,18664,12076,2177,8660,1995,2468,1266,1661
56,74,21404,12453,31824,32259,9669,4557,1775,1726
56,87,41916,15349,3313,21794,2226,3100,2111,1306
51,84,31053,47654,15370,15357,9103,4738,1221,863
57,77,34744,10284,5724,11818,4291,3551,2126,830
44,75,6455,27419,1766,24436,2936,2400,1921,1629
51,67,20733,14479,5381,10454,9487,4606,5652,805
57,80,13409,5123,33761,6068,9432,5679,3107,782
54,77,61773,14258,3952,10726,4745,2785,5132,1692
78,74,25295,18110,7398,20430,8188,11564,2970,789
78,66,49553,12345,10780,7946,2640,4424,2112,3728
78,64,5689,25364,26862,9388,22788,5856,3481,1385
77,67,14704,22972,13943,13868,3440,11594,6254,879
63,54,38617,60442,2824,11051,13540,5379,2630,1496
