attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
26,80,15654,19894,3917,8964,13919,11007,1988,2792
24,77,4825,17137,2906,20513,3447,3776,2437,1370
17,77,6873,5858,5723,23111,2345,4387,1769,1309
1,100,24401,6321,22519,9270,3143,2963,4399,2539
1,100,75671,20704,14392,4126,5926,2988,2595,1794
1,67,101862,82359,3398,8170,6818,12669,5166,2363
8,50,8107,12199,6274,5006,1499,5088,1296,1424
3,29,171376,115629,7751,13719,12673,5212,884,806
3,26,168666,23235,5111,11218,7443,2618,4230,502
1,50,29754,24695,16663,10834,2574,3275,2982,2561
1,44,26922,30547,11747,3941,9443,5011,2269,1598
1,66,80100,34403,20359,27028,6566,5480,3865,2082
1,66,106102,41428,7200,13363,7276,3573,1290,5255
1,47,31751,52375,501,10689,6586,4876,1999,654
1,61,28304,19508,28529,8250,2106,2784,5132,1911
1,60,53094,19287,6178,18103,4493,3710,2458,1696
1,56,115195,48363,4662,13334,3993,5831,925,2369
1,78,33611,22996,12980,28520,9489,6419,1694,1171
4,63,68464,56110,22711,6952,5039,7416,2725,2821
13,63,55931,21473,10447,16296,4858,8738,4298,978
24,80,22907,7063,18606,5253,3859,6779,3127,1099
23,84,6507,12769,32490,4294,4072,4002,3441,1492
27,88,58389,17971,9914,11757,13531,5188,1269,791
11,100,30821,8682,26246,32382,3822,3469,1473,961
13,88,52169,30227,16312,7791,9682,12348,5955,2228
21,78,87153,19194,18015,14009,6208,7978,2953,2296
13,84,42402,8461,13789,11366,7526,2487,1184,1908
26,83,19557,3927,27134,5583,16236,7630,3589,1261
21,87,14670,18830,35749,10707,6953,6334,2872,926
29,78,23775,19762,4244,16741,12485,4933,3858,1120
27,74,51160,13986,23157,1400,12528,5236,2297,1368
20,64,28980,16495,9549,15322,5251,6167,2707,1276
14,70,77443,26345,11089,37794,9145,6638,2550,1315
23,78,18715,8880,21920,12132,1356,4697,3823,2011
34,77,21388,9278,9526,11459,6215,10800,3008,1270
44,70,42155,10748,6117,11631,8346,6304,2796,1490
50,83,863,5931,2082,18806,5234,6648,2671,740
56,56,7553,32965,4755,5156,10339,8109,1512,1452
40,64,41123,10900,11343,26080,4376,4380,1335,1395
34,60,27049,34592,6708,9309,3268,6957,2256,1328
24,63,6848,9932,14206,21682,7324,4878,1615,1286
27,70,46564,20933,10419,6553,11850,11000,1805,789
48,57,5122,13033,7452,11497,2275,15474,6489,1546
41,69,25783,21146,3280,39939,9402,4909,2691,771
47,69,64506,5054,8102,13981,5084,4106,2760,2109
60,70,12536,1911,8385,1755,8559,9660,1170,2733
40,83,3506,14550,16618,35328,5856,6513,2012,1167
51,81,8882,12913,7837,21868,7091,7892,4420,1408
61,77,1717,4327,4024,16347,8078,9636,977,2561
51,83,13668,2269,1875,14801,7518,7605,5164,2159
66,75,9263,12636,2806,22950,7204,12264,2883,2197
66,70,23572,13830,8027,9688,4071,6598,2417,743
48,69,2695,24963,21036,8688,5608,5053,3958,914
35,78,20725,7246,21398,15664,5364,5583,2642,1553
21,75,8928,32491,7933,15591,7159,5271,3667,456
7,80,5090,31313,37489,17021,6825,4929,4165,966
4,83,41649,28495,21905,23032,7167,5229,6060,1111
4,70,9805,20622,17551,16665,21818,6790,2624,2143
7,80,4257,15461,13428,18373,5878,5080,2451,850
21,74,9083,18019,5491,15491,6907,7447,2632,2350
41,75,87165,5181,21453,21204,7906,19472,2254,4811
47,78,8378,17706,7466,27172,7181,9469,2737,1548
44,84,18420,11938,11027,55191,8736,6893,2497,2757
29,94,12099,12375,19763,13068,7625,2373,4002,1851
11,88,12426,19631,6374,13593,5509,3655,3546,1355
17,66,15520,7875,2433,9480,11119,3818,1384,1646
41,61,9206,3505,3981,13684,4769,7877,6762,1515
51,67,15588,23501,39000,20276,10230,18396,3751,3514
57,70,9182,12753,5796,21791,8020,10657,3876,2240
61,77,18409,8861,4737,15661,8791,8169,2540,584
40,74,12385,27201,13303,15373,5684,3369,3248,1797
44,67,26918,19749,3100,24135,4321,15087,4368,1574
30,57,27415,36800,1757,13959,6308,4179,2639,854
20,63,3959,5922,17350,6770,11145,2934,2224,1492
35,66,29890,7330,10267,10026,3647,5848,6464,2894
20,78,14842,14220,9911,46830,7582,6854,4450,1954
34,77,38421,35925,655,18138,9795,15087,2753,1868
37,80,8347,8219,7429,22879,5514,5486,3293,909
20,80,55009,21528,19372,23167,7788,3573,7024,2202
27,57,17420,39050,9571,6399,9290,9439,3891,1320
26,61,30466,15414,5778,16215,7789,14876,3669,708
43,66,24627,8260,5762,11141,9635,10292,2948,941
48,64,7935,16341,5761,23139,7725,6057,1718,1508
43,64,4779,26856,2031,25840,10362,13609,3870,2508
47,63,100494,44912,11526,30935,8002,10458,5348,2099
