attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
23,81,4390,26856,7023,19576,7141,13619,2809,916
26,81,15035,4218,9764,31347,15113,4209,3683,1323
21,69,24336,16888,2924,20680,2542,2555,1558,939
20,83,4143,17158,8683,27314,3667,4389,1748,477
17,74,97356,21412,1467,5368,6223,6565,4700,1233
20,57,66550,46495,21752,9807,7206,9181,4237,870
30,48,3359,26274,4941,12770,4225,9481,3998,2019
43,43,39948,12407,9362,17266,6306,13121,6416,3525
37,66,11775,8410,5150,13594,7528,2790,1979,1183
40,74,3904,7964,5315,10806,1260,7584,4153,1460
37,69,12868,10742,9540,4718,5673,6113,4081,2551
37,66,29905,16682,13655,4168,7440,4840,3781,1527
37,67,5462,20840,27574,14772,6884,6516,1372,1259
30,64,8539,27970,2917,25442,7703,9054,3515,1475
26,64,23885,31663,10919,16664,6830,8851,4312,2023
24,70,18469,24573,28647,9824,2803,7510,2217,1487
27,57,9478,42879,4456,20741,11770,9330,3489,1568
29,57,27575,21207,1333,20559,5224,7865,2815,1214
20,50,110247,97421,2665,29109,13272,5886,2691,2361
21,38,7363,16065,5464,5939,8919,3762,971,2169
23,43,45005,8609,7196,7513,11459,4521,2226,560
29,41,11502,13426,633,18816,7165,13692,3640,1586
43,61,23288,6441,6791,6609,2522,2909,2172,1168
41,63,9463,9800,2162,20014,15584,4830,4100,602
7,84,16475,54048,29649,15797,6430,2495,1952,2121
1,75,104497,25309,10767,6250,11088,2996,2738,1468
20,64,5439,15672,10366,26219,5085,5453,3705,2141
24,67,15511,34409,22003,5512,4894,8948,1229,2218
21,70,92249,30728,10989,24525,6162,6183,6456,1903
20,69,54392,20396,3533,18512,9826,4673,1329,971
24,56,22395,40864,4314,22955,5578,14286,3311,1775
29,60,42180,14655,8730,26878,14815,12584,2570,1352
29,69,10914,12772,26112,18530,2916,5112,2544,1083
17,64,69085,154286,20637,39679,7241,6718,3321,1746
14,66,41404,25546,8806,14685,7704,5542,3624,787
14,47,2664,43511,7691,10631,8288,6913,2381,1271
29,60,3915,7281,8773,17061,6925,6784,2026,1030
34,64,53095,15718,10874,16578,9117,7040,2304,630
38,64,1788,5009,7798,14670,10167,8853,2913,1318
44,77,33473,10717,7113,24684,13404,9912,1863,1443
35,81,30444,16721,26320,26825,5785,4471,2548,1694
26,81,20439,47065,7916,42832,7934,6251,6013,1129
11,100,36943,6772,10337,22224,7130,5231,1113,592
21,100,10991,4519,11955,14970,4945,5900,6351,891
44,66,6601,7470,1474,2757,6891,3819,1583,982
43,61,52350,21788,20632,12528,4846,6925,2755,718
43,54,8128,13390,4446,17682,5005,5935,1402,685
43,56,33096,10092,6808,5463,5264,6119,2629,747
41,77,54175,7142,23847,20964,6991,12405,4973,3237
44,64,11557,20448,10709,3556,13182,6113,2789,1214
43,74,29778,9851,47994,16401,15289,10752,2245,1821
44,69,37725,18397,1597,13048,5559,13137,2469,910
40,57,6966,16672,3230,18437,10320,5006,3705,1363
37,61,26367,22401,1384,16832,10693,4340,4616,1907
38,53,20000,13627,9331,16050,6552,6664,1489,1032
34,57,19076,23799,11224,13171,8104,8334,3790,1339
20,63,30090,50635,49786,11778,9631,3523,1907,1855
24,69,105642,15778,4706,19626,5328,7539,3435,2406
30,66,26783,7455,9421,12339,12102,12176,8355,1646
27,78,14083,9973,15999,28008,6568,7115,4679,1199
48,57,32103,22625,7440,19380,5948,15952,3158,1053
40,63,27347,27284,25661,21165,6204,11794,1789,1014
20,80,19521,46103,19661,25731,11134,3669,4114,1091
1,96,6132,9660,23365,32802,6350,2774,1420,1517
1,97,13124,20930,35699,7659,5399,7194,3779,728
16,91,3286,19160,11081,6324,3949,3211,1618,538
26,81,12416,15189,19875,9532,9043,4173,2651,1466
30,75,22859,15410,10502,17857,16038,9106,2353,1304
17,60,3291,55167,7294,13789,4417,4258,1969,1521
27,51,16467,27495,11560,4579,7309,10959,1002,2122
29,57,14004,11805,6649,40467,6283,6866,2316,1206
21,63,23016,12589,4744,17992,5672,3409,2350,540
35,67,48595,7945,3813,7166,9289,4242,1248,717
30,69,25484,35043,10416,9141,3806,9331,1336,1224
29,60,23129,12565,17279,2408,5412,2443,1946,1081
21,54,22689,24982,4619,3785,8870,2229,2036,1410
14,34,10229,103519,2398,3903,7152,7009,3003,1393
4,34,28133,32491,11088,28823,15634,6161,3489,1538
17,23,73289,15796,178,12455,12105,9016,2720,1474
30,35,16088,21738,13224,12319,7991,11175,2921,848
40,54,467153,72365,21464,11515,3317,16647,3426,746
