attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
100,14,151383,52613,11762,25052,10145,15254,2287,1445
88,34,191010,53864,61936,13042,16269,5947,6598,562
56,35,476784,58876,11945,5754,6816,2098,1875,566
16,29,418648,208639,45627,41219,23983,6922,4330,3354
7,20,426168,74624,21826,3553,11248,9340,2791,2804
23,10,29540,20175,9484,4797,2057,4223,5631,1682
26,13,583143,108875,13374,29180,16639,5974,15062,4327
66,21,36196,12034,3954,7479,1086,7332,2709,1637
54,35,37541,60917,17230,24450,3041,4103,2058,2142
60,57,138613,11064,26219,15750,3460,7842,2827,3503
77,70,23544,22032,6790,14558,5362,5064,1830,3607
56,75,5499,14208,2731,12016,3704,2669,4603,1411
70,61,54293,23591,2954,8238,7728,4325,1320,1758
81,41,14973,5736,3445,4050,3386,3594,3589,1499
77,50,29378,12193,4056,18131,3252,3042,2284,3347
69,60,3806,14034,5896,20680,4905,2344,4330,4080
81,57,59742,14155,985,5144,1976,4966,4038,2710
63,66,17590,15821,7432,15719,3624,3475,2270,1847
87,67,32148,6646,8817,8662,2912,2496,2981,2103
53,94,55046,26457,4865,37764,3824,2008,2200,1741
51,87,64935,47272,11628,21468,4629,5802,2035,3811
48,74,22462,14809,3986,4662,2144,4144,2309,1831
47,57,22536,15671,4565,7945,1996,2567,4301,2768
47,40,75759,62676,11560,23292,11343,2548,1984,2913
35,37,91178,32456,11809,6658,5471,1781,3584,879
40,26,44724,5205,1362,6210,22259,3559,1830,1019
23,34,115918,30126,6560,26832,2923,2295,2658,893
51,53,7420,6284,10354,14436,6098,5142,1495,3928
66,56,104274,27441,13088,10716,2243,5066,2593,1678
70,57,65106,56929,11312,16260,8451,6193,2223,2034
66,56,9679,15202,510,32496,8632,5700,2294,1696
61,75,45714,6065,17445,15495,7859,2714,2300,822
56,70,14018,28367,12307,7731,6132,5583,4422,2673
63,93,2543,11552,23655,7602,7932,5001,2535,2502
57,88,10154,18033,14790,11429,5868,3810,3288,1633
69,88,22849,13253,8762,36524,1142,8736,2008,2548
64,97,15302,28441,2079,27573,3138,4969,1588,697
53,63,107447,85824,5640,10780,3452,6081,1791,1023
60,60,46484,48545,21303,29824,2368,13398,2042,1858
51,30,40024,48301,19063,4917,6486,5980,2206,1098
63,23,8943,20557,7152,12970,13113,7106,1928,1446
66,57,9993,9644,13823,16185,6087,2940,1137,4189
53,63,52219,37562,17855,35086,10382,5029,1553,2730
66,77,11914,16457,12007,11798,2326,8009,1131,1015
67,78,19110,4818,1349,13969,3768,5156,1130,900
67,81,10043,17639,7256,18948,2640,2235,1559,1024
63,70,11620,17087,2212,11073,7006,4560,963,1287
69,61,2349,5412,2324,4868,4940,3392,2568,2010
81,70,27505,14094,4875,10627,6083,2221,1382,1155
83,87,5537,5652,11904,27458,3464,3943,2541,1157
66,100,4073,8435,15292,14085,5241,3388,1179,1461
61,93,15663,7982,17717,5158,8558,5258,2952,2344
77,91,18705,7358,4218,7082,2773,3667,2292,919
69,83,13936,5439,5207,14420,4304,1601,4133,1850
64,91,17329,10025,7962,34936,1324,3305,2350,1229
66,96,12316,5767,6908,10592,1754,4456,1067,1062
48,84,32753,22500,1524,9937,4256,2010,965,1216
88,63,7260,5111,7756,2077,2218,4672,1005,903
80,47,8248,17934,8328,2958,1171,3358,857,2931
90,69,5874,3221,7531,17040,6207,3140,2679,1420
70,83,15124,9897,11361,37973,3988,2880,1581,2356
