attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
41,43,1666508,117071,94297,5393,22049,6889,5206,4087
37,29,373541,105548,18962,18456,38909,9362,2811,1470
40,13,45645,55545,2268,8913,12642,8213,7948,2693
41,40,89165,15227,35335,30766,3678,4264,1880,1448
56,29,33195,46349,16537,11627,41061,10352,8017,4588
50,13,244222,138204,14642,11846,5242,14037,7754,5193
48,20,697619,69717,44592,17716,24158,16820,11383,3661
47,44,17702,41107,8884,71830,3067,8019,6323,4097
61,35,839551,65020,4871,31333,15732,17945,17597,1591
63,51,39063,31894,25714,21133,18334,8096,4157,4596
53,44,1256278,226723,10164,64818,7622,11693,3987,2157
57,17,887070,113142,11422,11082,24365,18070,7143,1296
74,13,33807,13620,11206,5169,11457,4945,4219,1671
88,26,10324,4493,9819,9146,24132,14961,2555,1150
83,21,158666,183460,8734,15521,32053,20128,4087,2016
84,17,69355,30727,17872,10182,17800,8925,2077,3967
80,23,4513,18657,15089,20183,15292,5487,3333,1970
64,37,10914,9210,18210,17545,8668,6047,3117,2334
61,48,1316969,209738,47746,23942,18811,20016,11056,4447
51,41,105920,231064,21828,44464,23685,15139,9416,2193
51,27,502079,61074,12470,8561,13653,8157,13631,7138
43,23,237021,52906,5429,62499,10515,6703,8980,2605
54,26,139219,83499,11538,27267,3679,26485,10692,1582
61,30,183118,12835,3568,4014,3306,1967,1793,460
57,37,167403,26023,2188,12376,10477,2457,1257,342
64,29,16079,67737,40115,25224,23046,18252,1898,5267
60,43,52226,21047,10649,23726,1628,6696,5817,1660
56,56,153260,5542,1148,11878,1587,1358,1335,320
53,53,35296,114130,2035,31284,6663,6881,8853,3924
50,43,501674,135402,21956,18667,11697,14730,11927,3654
38,35,57348,16110,6413,2167,1403,893,990,986
43,27,20303,18631,25596,13118,22986,7250,3714,1629
44,56,381571,27287,26794,24231,8755,9254,4203,1420
56,47,364609,140439,26444,9441,30510,18530,9270,2161
64,40,253943,32672,5339,36907,36328,22634,7069,1420
70,47,4500,10684,5458,37648,11152,4911,6904,2495
74,43,13653,14161,3593,17460,9111,5225,3076,4634
63,47,243147,166170,37193,15509,8611,8580,6260,1875
60,48,37207,18053,9325,7390,9749,7232,3257,1944
57,27,481139,63125,13867,4009,4698,5464,4338,1272
47,26,1606136,41761,25257,8711,6370,3225,2244,1160
61,24,247837,53404,7070,10488,16264,15243,8394,4308
61,10,1268452,121078,13564,10067,20379,28243,6883,5478
50,1,142950,485268,9981,36152,13879,13156,11030,4878
66,7,9458,12286,8510,29337,9031,10459,10984,4414
57,60,18001,22882,28346,11533,5541,11529,4804,1820
77,84,80198,24190,21388,20235,13886,13137,7875,3579
63,77,1208589,45701,37695,42962,31586,47106,10215,2050
56,54,1907025,73443,24368,12366,6886,4980,1860,946
57,40,1067063,27520,12478,13096,11106,4548,2070,459
61,50,28247,2668,8516,4750,4863,1345,1306,206
56,50,612597,260903,59599,70278,35634,8596,4187,3649
60,54,11895,19033,8321,8831,5503,9673,4653,1015
75,50,4797,6444,7190,11192,3081,10913,4310,4368
78,50,10669,89151,37257,8630,13669,5260,4896,1601
67,54,40889,24928,12133,35347,22184,11054,712,2088
54,51,557407,114766,91365,22618,12663,24054,8376,7358
67,66,50995,16144,26881,41514,6297,32856,6722,2721
77,63,6051,11653,7670,10069,13582,11582,1599,1237
81,70,56332,17023,13638,40219,6520,13060,3093,3519
100,67,43722,10650,9014,7910,3902,12007,1756,1659
100,53,35890,6595,10130,5968,35146,8878,2552,1153
91,64,2864,14928,5963,28863,3864,5620,3675,794
83,69,16556,27068,82622,40913,14118,11830,2453,1849
81,75,5474,7773,3103,19910,1969,12955,1931,3505
81,91,12520,1166,4078,20782,7000,5909,2016,1813
91,78,19229,11361,7507,21704,18151,9056,2797,1839
84,75,16673,13331,4418,11161,5756,5176,4365,2802
74,77,3521,18507,4761,38670,3609,2947,2674,2606
75,57,549,7963,9027,1480,16636,5592,1685,2111
74,64,6811,8253,11717,8534,4636,4446,2473,1635
90,57,7436,5559,1682,17744,10296,6992,1237,2088
94,74,9341,3518,19063,3872,1963,11080,3508,1742
91,67,103264,55003,34208,18731,21934,12555,2592,1028
97,54,7310,11905,1295,11563,4668,5060,3093,1960
97,48,12195,8310,9022,10548,9807,10596,2236,1165
78,53,492792,178390,96824,14690,35447,21996,11671,7730
77,51,93412,18191,1794,18377,8720,6649,2892,1002
60,34,366571,189209,6308,19790,24171,13328,4980,2396
60,34,51557,22044,9374,36987,12026,9897,1726,1368
60,29,200923,38051,13320,10390,30180,4995,4790,1703
57,57,8836,15514,16298,4656,22195,3696,1543,1320
63,51,12751,7027,17131,8802,28054,8286,2723,657
60,66,15554,31024,36992,39456,27486,6403,2127,4228
74,56,6211,6622,9102,10658,10672,7477,2724,1534
69,44,7326,29328,2891,7056,9277,6704,1618,1070
97,50,8026,12190,960,18096,3966,8230,2720,1591
77,26,462266,382781,3595,9188,8231,12270,6414,6379
67,41,27272,59836,12387,29494,8718,6318,5966,766
50,40,315805,95243,3232,54762,5967,11629,5843,3814
