attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
54,41,696152,229416,83645,36073,37404,25959,8930,12928
54,41,152926,29497,7995,14586,13965,8897,2265,3522
54,41,105363,136627,87335,10662,45328,44805,25548,6106
78,56,607801,66045,2556,74242,25990,70460,9639,2428
78,56,663189,22181,9312,5062,19888,10307,4388,1150
78,56,420468,74888,65904,11213,94005,39141,10339,1834
78,56,740300,92306,69209,45080,15000,7694,1285,1217
78,56,3095603,299956,21817,28238,21322,38901,4488,7887
78,56,803785,29724,8085,17221,7766,8894,2140,367
70,80,112188,4473,3893,3967,5966,1303,570,303
41,100,174488,39256,12806,21867,8222,3405,2199,1783
26,100,77736,43323,95690,125398,5900,19192,5322,1611
1,100,380123,204929,67431,38257,9911,7671,2740,833
1,80,1564033,244902,70489,63470,31220,18638,6729,5830
27,30,1002273,33647,29715,5581,3560,4063,1711,501
43,23,2490047,318908,95064,42171,132876,63267,8372,18819
27,17,383206,189657,62808,36566,53131,10426,3342,17828
11,13,1378275,210470,14099,39019,7736,7746,2711,20480
13,29,14249,10615,8472,55516,9077,4737,3778,17935
13,48,28302,20489,10140,24075,5798,8239,3964,18643
17,60,140285,75980,59190,13926,5659,8116,2817,16689
43,78,115115,49272,11073,51071,5684,17429,5435,14977
41,44,1063399,128491,13765,24749,13462,9325,2146,2768
41,20,263010,97536,9026,17448,15678,19680,755,1160
41,20,401518,137151,50502,31968,28386,21618,8252,3920
41,20,782551,51362,2548,30725,3595,12967,1505,1411
47,11,1059185,78194,29664,11763,6396,9980,2141,5489
47,11,1769045,93812,57645,52672,24831,30344,11319,11061
47,20,784981,15179,44820,24004,13141,13189,2121,2592
61,30,66141,2473,2133,497,1503,868,275,380
37,40,282897,101626,26232,12285,9819,3407,1970,4539
37,24,146297,185789,15459,16529,25757,17608,4399,18198
21,1,689950,126212,18423,14603,8706,7841,1891,3907
8,14,217646,12431,20883,6018,4403,2575,479,1554
21,4,462083,303302,32836,16713,16851,21424,6483,21257
21,20,2398533,165384,31966,90412,64847,23355,8047,13847
23,21,275477,82802,13332,12858,4764,6159,3064,5356
23,7,1606912,221449,95279,39062,27418,23872,14038,19885
10,24,2813022,54261,22746,9753,6349,1714,3334,4211
26,24,5901,14034,12571,8969,17144,9822,6140,21358
34,20,178745,276429,38633,57497,163545,30391,9394,32175
34,14,337314,158934,43593,20534,16144,12311,11575,5338
54,23,1033412,67694,51914,15169,4375,15305,6591,18445
26,37,798625,36104,47603,9890,7090,3150,2900,6597
13,34,1138825,706194,60665,51538,35831,23364,7821,17341
7,34,1030752,96567,25049,10164,4544,5316,6088,6197
7,10,966433,90738,2356,15989,2810,11851,2649,5902
4,1,12801,20266,3686,2855,4931,770,763,1426
16,1,435650,65825,8954,4506,10566,5633,2013,4308
30,1,141248,7308,1654,1514,3593,1220,379,870
30,7,884813,55100,43058,24255,20250,12071,4465,4932
41,10,1400312,205775,48807,33808,24015,16872,10336,12348
26,10,1051462,85788,6378,3228,4462,2162,1579,4464
14,21,62129,15289,3336,8155,4301,1222,209,1171
13,20,104650,66287,18341,49636,41986,12545,3639,18572
10,10,320787,123283,8670,9643,16903,7040,4115,13778
38,38,646392,17296,9531,3702,2397,3867,1101,4221
47,16,524201,500551,5432,46923,99681,91270,7771,8268
77,43,432511,88715,8231,28636,22630,15205,3883,1590
41,35,1007258,101622,57207,20368,16397,17479,3004,4938
14,27,1027624,890625,135382,68920,22744,26961,8155,21405
20,10,306997,25083,1357,1885,1276,3835,536,627
