attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
84,41,1705417,276221,51285,21704,186732,84224,24740,11084
100,51,896372,353755,125411,148694,151166,126234,17148,1192
93,57,805132,19440,4529,2888,10498,4395,1932,219
78,74,323544,14930,10723,9175,15918,1717,3398,1878
70,100,7859,1820,7215,21017,1462,3264,1084,254
41,93,1966323,389978,191022,26793,34569,14095,8461,13571
21,78,1010310,548023,56794,12085,23674,23282,4692,14592
38,61,331411,128384,66308,29818,67738,34571,5005,3731
40,41,540886,58665,13200,46242,72804,14001,10195,2551
57,38,1849529,327244,99799,46596,25891,46926,21843,7890
64,48,1888245,152165,27751,39858,36740,12365,5006,6432
60,63,30855,53958,31387,13266,10640,11322,8420,2477
56,80,21696,11224,32882,17394,5227,4909,8097,2066
56,74,1503173,177097,22898,12141,17586,12103,4108,4288
56,63,995508,216231,174235,61039,182976,49762,26882,7803
57,57,1390948,331735,107890,114312,289364,66287,41986,6438
53,44,627396,251637,82725,49506,15874,22172,4003,1348
57,56,22856,9252,2413,4815,2280,1398,340,340
44,44,577681,59970,2058,9532,4150,3221,1316,265
54,51,747595,90217,62536,39692,19685,49411,4622,1274
66,48,1678653,73682,18620,29387,40911,15221,1392,2160
66,35,953886,126289,4892,10515,7523,12091,5069,1336
37,44,51167,132765,55637,76488,21155,10233,7187,2791
24,66,37279,11304,116881,13373,13431,7466,8496,2227
40,84,26059,22607,28708,22340,9984,17619,7430,3540
61,88,20702,25186,8809,17838,1806,10022,3710,2220
80,96,13504,9525,25446,32057,10242,9303,5889,2277
100,75,53747,21655,4696,8136,8270,9326,6406,1611
100,77,12366,13043,33684,6192,2112,13198,11780,5799
91,67,34446,68316,8137,16186,10199,7316,11154,1599
80,60,334668,88485,45874,51343,32188,11137,5431,2373
80,66,37476,24320,16431,18255,9701,17855,13124,2506
74,61,491274,42788,63215,17705,22357,18174,12811,4042
57,64,112424,29057,4672,8502,3795,1266,1163,174
83,63,1174198,34584,21338,17586,9306,37220,4056,1933
63,54,726572,930579,211546,115251,129822,96774,13295,6002
60,41,334539,202570,7819,44286,26899,30996,8214,1374
74,41,1746005,40039,14426,7829,9896,6312,2961,138
63,35,1344368,1178403,195917,222438,207219,343632,62941,15127
