attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
48,74,657942,121319,87644,120385,18974,6437,5155,1441
24,83,3931606,80415,15009,137706,10787,18062,5027,1622
7,100,67215,47915,22198,73600,8617,5283,3218,1106
20,100,73616,40346,16890,43070,7211,6017,2729,1949
16,100,14417,62022,48510,103930,12589,10388,3711,1915
21,100,57908,14333,13440,131419,17524,7081,4147,1524
13,100,12677,9921,81189,147205,7118,4234,4659,5006
17,100,27538,13087,5755,34676,10970,5921,2889,989
13,96,27987,47532,28998,104695,5476,8739,4099,3056
14,69,67779,26360,30435,20595,34347,4372,3683,4375
24,54,53301,14602,37989,52033,19232,6063,1961,1533
27,57,83142,5164,4799,23831,2993,5865,2489,1587
29,54,31353,49197,67398,48314,16062,11654,4823,5021
23,60,145027,36895,31885,18552,2804,3034,1496,897
21,54,30460,37299,40522,54180,19922,16582,3311,1100
30,51,210895,30425,24132,78250,12577,8940,3486,1323
44,50,64022,13176,16704,14419,12145,8009,3598,1139
29,53,6374,34119,6570,32632,23194,9053,3492,1833
27,48,37548,55690,27365,61294,5841,6479,4510,2266
26,40,67132,32985,8857,32497,9896,5369,1472,1658
29,50,31266,8831,6849,48553,21299,12171,6083,1445
30,63,14378,14631,40688,79954,7582,8120,3352,1233
35,57,20318,28527,36207,34930,13824,9228,1401,1200
40,51,29346,54761,23103,11146,8661,8425,2675,2735
30,56,36774,14216,49238,15066,9531,4963,2030,2369
30,48,24469,17814,46265,13544,8669,5079,2614,2092
37,47,6901,11850,5036,51477,24279,12048,2749,1447
23,74,20106,40686,36857,55391,13575,7289,2251,871
16,88,19451,6562,77488,35724,4833,3818,2406,624
17,80,14808,14938,67129,21375,14914,10157,3213,1158
24,87,11869,9074,64386,28353,10421,11329,3833,2379
30,75,29017,27455,114703,31458,21906,12377,3343,1106
43,69,39077,8331,9580,19398,4618,7018,2347,1061
30,69,30949,29761,64449,29349,6887,3214,5196,1009
13,75,239557,136201,228080,30127,14561,5221,2690,1052
1,83,40728,24471,79845,63618,7713,6193,3915,1341
4,67,6651,7960,27459,23762,13271,4210,1256,1624
14,78,29072,12415,72960,31199,6977,5559,2550,1142
17,74,15947,14178,82992,33019,27636,7563,2293,1843
23,80,4193,14365,37897,66997,8774,7866,2589,1433
21,80,5211,8179,43416,25717,20637,4587,3861,1800
23,77,17186,25639,170058,31219,24539,11341,3896,1501
21,69,4272,48025,31480,41571,4250,6227,4066,1628
30,63,58403,7143,20706,21836,10751,10220,2137,800
41,38,10001,24933,19646,16290,9039,6749,1864,1223
44,26,21656,30106,6753,13341,22774,3777,2583,1943
44,34,8916,19833,5812,42739,4930,13927,8354,1524
38,38,10299,54412,69164,51308,14552,9162,3578,2648
21,41,12336,86076,39508,9560,23198,10434,4713,1994
7,48,39135,49168,84616,62654,11950,5234,1877,2369
30,40,15097,9946,9569,28453,5009,11076,2813,2123
30,53,74445,27863,42363,14770,8654,6376,1451,838
37,60,23611,12430,52305,28195,4174,3735,3783,901
37,57,39458,8920,10642,33387,8622,12291,3626,730
41,69,7187,5904,26936,69083,7122,13204,1250,1368
37,77,5125,23865,25717,38277,4254,3749,3626,1001
40,66,14152,28080,22009,49652,13962,6603,4036,1132
35,48,25062,12452,10592,23593,8075,6359,4010,1824
35,44,55862,43136,32258,56748,15287,6489,2138,2510
35,50,17989,13801,32898,30616,7412,4841,7045,1666
35,60,11809,24324,11825,55133,3369,10485,4177,1357
30,54,21593,21526,26506,23815,28575,7257,3207,2500
47,66,20008,11753,28912,98785,13557,23305,4384,1321
41,75,38067,7893,19109,51350,6834,5620,1352,3193
29,87,9493,10798,9543,30954,2855,3753,3083,2141
29,78,7365,19422,49655,12940,17821,13746,1413,2720
21,57,6161,16042,26095,31933,19049,4921,1362,2059
24,63,6497,7058,32287,32844,4563,7100,2691,1579
14,75,16530,15311,92287,61826,14986,7687,3447,1448
