attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
100,57,447389,40832,3317,6203,19882,17515,1940,830
74,53,187425,179863,16651,19695,31977,16823,3666,3389
63,53,1180967,156514,9996,67537,48864,21292,10793,3474
16,53,731156,61952,16412,5381,14635,6426,2522,996
24,47,83185,30103,3119,1323,2325,4666,494,190
10,17,917146,956904,28235,27629,47232,28448,16919,2009
4,29,606669,389298,39781,105659,16530,18687,8525,5928
29,91,503948,77650,15993,6513,15368,4063,2959,631
1,90,1787876,189258,71100,64327,14120,10337,6312,4353
3,70,452273,653655,39288,62951,46403,46707,7862,5371
1,63,915089,331922,26632,37261,18123,21448,6830,1183
10,27,377538,71390,7514,6688,2960,2918,653,383
1,27,1199595,112539,12508,6146,17375,4976,2383,2282
4,43,656786,123033,25547,34859,9877,12838,2918,444
3,74,141591,74132,10795,14014,14740,3878,1575,1038
1,63,265202,370394,39778,41434,10937,8470,5840,2222
13,51,1311189,57977,7264,12810,34655,31562,3447,1254
35,100,2433261,22653,24335,171409,77634,18653,8733,4634
20,74,1358511,603090,72064,71131,110481,30751,26336,9053
27,69,677506,66057,40386,9130,5807,8604,6507,867
10,60,336009,158843,16526,32171,20493,5226,1273,1576
24,38,1839842,784669,50215,101337,84239,78480,7847,4396
63,53,41720,2375,5657,2016,2504,3897,539,175
14,63,2507895,461132,192564,108066,94062,20527,25864,4639
27,66,1974752,924164,224863,127890,87684,88556,27483,4035
11,53,283682,162825,72415,6486,28148,9908,7381,4731
30,38,1725730,109586,2621,18403,9649,9426,5015,3838
26,41,58986,147914,15298,12191,22595,7540,10924,1427
37,40,2622782,678512,105341,143181,79160,85388,12763,3428
35,37,407241,148728,23070,46448,96158,22683,13487,3526
40,63,2727230,235152,232839,262485,105343,84790,7488,6563
50,84,132624,13539,11511,6643,2507,2913,445,191
57,88,561589,60156,23885,24541,26396,19193,4604,2111
66,93,2295662,240914,131334,20912,145444,63381,5668,2429
43,67,164202,141587,15032,13953,10794,3650,2710,706
35,50,901537,100422,13210,12169,13796,6612,1664,488
24,57,706278,37251,15932,45760,33207,7725,2569,859
8,56,1915849,394541,58984,73678,48872,29108,6769,1950
30,53,2613556,566981,71550,79641,341208,86243,38326,13199
