attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
29,35,15165,24579,20850,7261,3613,5206,3352,1123
10,44,610637,217044,20157,60641,24241,10979,4392,4570
34,60,1458607,456105,26043,135780,117819,58117,9270,7192
30,50,478197,34445,2762,5942,7473,1986,1120,618
20,53,221684,43269,17792,32836,7650,4772,1542,2361
14,53,1381843,824429,235986,76440,78750,16435,8011,5242
1,51,492267,168143,25608,8912,4386,4725,3833,3204
13,61,290596,22988,11811,4520,7762,4130,2498,631
20,56,42242,58523,22392,19519,8551,6150,1879,1884
61,54,24460,11006,2299,6406,12699,6028,4349,2638
84,66,91540,29077,14131,24722,37382,9798,5468,7510
74,61,1143168,486840,44221,124183,28880,29194,5371,2853
74,57,1751329,185355,54341,66647,32291,19967,7613,3994
48,75,325741,169839,114694,87015,18893,19998,9872,4912
43,90,41698,35141,68092,11528,10445,10552,2801,4686
60,69,43130,104446,8173,4606,2748,8397,4580,1782
60,74,27888,20259,19492,19337,8615,3080,4022,2331
61,64,25243,19148,25535,14797,22875,6617,2362,2745
56,60,22032,42960,7593,5738,11177,5327,8491,1656
61,90,92804,7669,6329,31768,33284,4618,3611,2640
74,75,401112,40068,9838,16346,9201,8880,5401,2036
67,64,51628,37114,11863,13631,12194,4806,6272,2191
54,75,157406,103622,37789,14159,5019,5610,2631,2240
20,81,16552,22166,4576,51886,6846,5166,3231,927
29,91,22670,19240,18665,21124,15761,7914,6073,4296
38,96,10731,42000,10729,21588,5510,4368,2512,3571
63,100,11034,9004,36115,5288,1710,4348,3493,4016
54,90,30433,48871,12759,2740,2256,2074,5162,5231
41,75,15815,71552,19096,17768,5252,6119,4265,524
53,80,34587,12030,14101,32416,8726,7829,3416,1417
61,75,14053,9052,11244,24051,3169,7019,4347,1412
81,93,7109,7743,32575,7368,10947,6938,3163,1942
84,100,43207,20904,2956,26873,8554,3768,1474,1753
80,84,18974,36349,16949,2952,4266,5598,5125,703
63,90,24260,10017,18108,53719,5423,3395,2879,2467
60,88,34163,9172,11386,20752,7260,4721,6545,1157
61,96,8889,9526,18328,25239,5443,4373,2522,1184
57,100,18966,8199,14207,19451,5922,3286,2090,2230
61,93,165112,45389,20312,10634,5362,4022,5120,3065
54,91,66903,20491,32051,9753,5871,5021,2499,3023
66,81,39944,16535,25378,6373,14635,10156,7374,1265
70,75,14083,13507,19827,8412,7050,4267,3056,2185
84,61,22606,38406,4264,5719,5754,6357,2773,3062
69,35,121856,158706,6002,12793,3885,4377,3476,1913
60,29,58316,54234,10628,25866,11464,8729,1757,1310
57,27,8171,20757,13518,19381,7119,5389,918,1978
41,40,36915,49554,22352,9818,8283,2938,2509,3149
60,70,90422,10498,26521,27723,8905,6711,2336,763
70,75,118255,21082,6966,14091,5416,9911,1691,610
81,83,22582,4829,22718,12489,6004,7478,3808,1502
90,93,14990,22701,26660,14874,3173,4767,3752,1729
90,78,3047,23159,11366,12007,9737,4786,2095,2821
88,81,2821,17502,16869,10714,7977,9803,5900,1412
88,70,9492,13760,3783,12972,3715,5564,2215,1326
81,77,10612,10326,23321,28336,8116,3232,3042,962
75,88,47663,19422,33469,16375,5495,4478,4379,1834
61,96,13296,9260,20424,13260,9163,3175,1983,724
40,100,21042,8846,21579,65085,6288,3380,4074,1080
